ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,label
167772674,167772687,836.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,5824.0,23.0,39.0,784.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0,144.430839,0.001951,0.011712,0.001951,bruteforce
167772687,167772674,52.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,64128.0,823.0,999.0,0.0,0.0,0.0,16,0.001001,0.0,0.0,0.0,0,144.43184,0.001001,0.012713,0.001001,bruteforce
167772674,167772687,52.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,7744.0,999.0,823.0,0.0,0.0,0.0,16,0.03517,0.0,0.0,0.0,0,144.464058,0.032218,0.044931,0.032218,bruteforce
167772687,167772674,76.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,64128.0,823.0,999.0,24.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0,144.464998,0.00094,0.045871,0.00094,bruteforce
167772674,167772687,52.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,7744.0,1023.0,823.0,0.0,0.0,0.0,16,0.001981,0.0,0.0,0.0,0,144.466979,0.001981,0.047852,0.001981,bruteforce
167772674,167772687,332.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,7744.0,1023.0,823.0,280.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0,144.469904,0.002925,0.050777,0.002925,bruteforce
167772687,167772674,52.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,64128.0,1103.0,1023.0,0.0,0.0,0.0,16,0.001943,0.0,0.0,0.0,0,144.471847,0.001943,0.05272,0.001943,bruteforce
167772687,167772674,324.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,64128.0,1103.0,1023.0,272.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0,144.477687,0.00584,0.05856,0.00584,bruteforce
167772674,167772687,900.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,9728.0,1295.0,1103.0,848.0,0.0,0.0,24,0.015617,0.0,0.0,0.0,0,144.493304,0.015617,0.074177,0.015617,bruteforce
167772687,167772674,68.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,64128.0,1951.0,1295.0,16.0,0.0,0.0,24,0.024402,0.0,0.0,0.0,0,144.517706,0.024402,0.098579,0.024402,bruteforce
167772674,167772687,52.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,9728.0,1311.0,1951.0,0.0,0.0,0.0,16,0.035132,0.0,0.0,0.0,0,144.552838,0.035132,0.133711,0.035132,bruteforce
167772687,167772674,104.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,64128.0,1951.0,1311.0,52.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0,144.555768,0.00293,0.136641,0.00293,bruteforce
167772674,167772687,52.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,9728.0,1363.0,1951.0,0.0,0.0,0.0,16,0.000975,0.0,0.0,0.0,0,144.556743,0.000975,0.137616,0.000975,bruteforce
167772674,167772687,104.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,9728.0,1363.0,1951.0,52.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0,144.557719,0.000976,0.138592,0.000976,bruteforce
167772687,167772674,120.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,64128.0,2003.0,1363.0,68.0,0.0,0.0,24,0.00293,0.0,0.0,0.0,0,144.560649,0.00293,0.141522,0.00293,bruteforce
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,144.573359,0.01271,0.0,0.0,bruteforce
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,144.575287,0.001928,0.0,0.0,bruteforce
167772674,134744072,68.0,Set,Not set,0.0,0.0,0.0,64.0,UDP,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,"59266,53",144.57724,0.001953,0.0,0.0,bruteforce
167772674,167772687,52.0,Set,Not set,0.0,0.0,0.0,64.0,TCP,9728.0,1431.0,2003.0,0.0,0.0,0.0,16,0.033182,0.0,0.0,0.0,0,144.593831,0.016591,0.174704,0.033182,bruteforce
0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,146.20571,1.611879,0.0,0.0,bruteforce
