"ip.src","ip.dst","ip.len","ip.flags.df","ip.flags.mf","ip.fragment","ip.fragment.count","ip.fragments","ip.ttl","ip.proto","tcp.window_size","tcp.ack","tcp.seq","tcp.len","tcp.stream","tcp.urgent_pointer","tcp.flags","tcp.analysis.ack_rtt","tcp.segments","tcp.reassembled.length","http.request","udp.port","frame.time_relative","frame.time_delta","tcp.time_relative","tcp.time_delta"
"10.10.10.130","10.10.10.1","386","Set","Not set","","","","64","TCP","64128","639","1","346","3","0","0x018","","","","","","3.625013415","0.002526254","0.065616577","0.062908871"
"10.10.10.130","10.10.10.1","386","Set","Not set","","","","64","TCP","64128","635","1","346","4","0","0x018","","","","","","3.626391049","0.001377634","0.065915870","0.064056499"
"10.10.10.130","10.10.10.1","386","Set","Not set","","","","64","TCP","64128","640","1","346","5","0","0x018","","","","","","3.628942988","0.002551939","0.067969900","0.066424755"
"10.10.10.1","10.10.10.130","677","Set","Not set","","","","128","TCP","130816","347","640","637","5","0","0x018","0.003178769","","","True","","3.632121757","0.003178769","0.071148669","0.003178769"
"10.10.10.130","10.10.10.1","40","Set","Not set","","","","64","TCP","64128","1277","347","0","5","0","0x010","0.000046183","","","","","3.632167940","0.000046183","0.071194852","0.000046183"
"10.10.10.1","10.10.10.130","677","Set","Not set","","","","128","TCP","130816","347","635","637","4","0","0x018","0.007684288","","","True","","3.634075337","0.001907397","0.073600158","0.007684288"
"10.10.10.130","10.10.10.1","40","Set","Not set","","","","64","TCP","64128","1272","347","0","4","0","0x010","0.000029157","","","","","3.634104494","0.000029157","0.073629315","0.000029157"
"10.10.10.1","10.10.10.130","40","Set","Not set","","","","128","TCP","130816","347","639","0","3","0","0x010","0.010832591","","","","","3.635846006","0.001741512","0.076449168","0.010832591"
"10.10.10.130","10.10.10.1","40","Set","Not set","","","","64","TCP","64128","1832","607","0","2","0","0x010","0.042813759","","","","","3.636673049","0.000827043","0.699226078","0.042813759"
"10.10.10.1","10.10.10.130","677","Set","Not set","","","","128","TCP","130816","347","639","637","3","0","0x018","","","","True","","3.638841307","0.002168258","0.079444469","0.002995301"
"10.10.10.130","10.10.10.1","40","Set","Not set","","","","64","TCP","64128","1276","347","0","3","0","0x010","0.000026879","","","","","3.638868186","0.000026879","0.079471348","0.000026879"
"10.10.10.130","10.10.10.1","386","Set","Not set","","","","64","TCP","64128","641","1","346","6","0","0x018","","","","","","3.654071750","0.015203564","0.092276494","0.091391853"
"10.10.10.1","10.10.10.130","678","Set","Not set","","","","128","TCP","130816","347","641","638","6","0","0x018","0.006712992","","","True","","3.660784742","0.006712992","0.098989486","0.006712992"
"10.10.10.130","10.10.10.1","40","Set","Not set","","","","64","TCP","64128","1279","347","0","6","0","0x010","0.000077473","","","","","3.660862215","0.000077473","0.099066959","0.000077473"
"10.10.10.130","10.10.10.1","386","Set","Not set","","","","64","TCP","64128","1816","637","346","1","0","0x018","","","","","","3.694657348","0.033795133","0.757575196","0.072170187"
